"date","value"
1990-01-02,0
1990-01-03,0.0959873902481847
1990-01-04,0.191973797841175
1990-01-05,0.287958240133837
1990-01-08,0.383939734501155
1990-01-09,0.479917298348293
1990-01-10,0.575889949120653
1990-01-11,0.671856704313934
1990-01-12,0.76781658148419
1990-01-15,0.863768598257886
1990-01-16,0.959711772341959
1990-01-17,1.05564512153387
1990-01-18,1.15156766373166
1990-01-19,1.24747841694401
1990-01-22,1.34337639930028
1990-01-23,1.43926062906058
1990-01-24,1.5351301246258
1990-01-25,1.63098390454768
1990-01-26,1.72682098753883
1990-01-29,1.8226403924828
1990-01-30,1.91844113844413
1990-01-31,2.01422224467836
1990-02-01,2.10998273064209
1990-02-02,2.20572161600303
1990-02-05,2.30143792065
1990-02-06,2.39713066470302
1990-02-07,2.49279886852327
1990-02-08,2.58844155272319
1990-02-09,2.68405773817644
1990-02-12,2.77964644602799
1990-02-13,2.87520669770408
1990-02-14,2.97073751492229
1990-02-15,3.06623791970151
1990-02-16,3.16170693437197
1990-02-20,3.25714358158527
1990-02-21,3.35254688432437
1990-02-22,3.44791586591355
1990-02-23,3.54324955002849
1990-02-26,3.63854696070621
1990-02-27,3.73380712235505
1990-02-28,3.82902905976472
1990-03-01,3.92421179811621
1990-03-02,4.01935436299182
1990-03-05,4.11445578038512
1990-03-06,4.20951507671092
1990-03-07,4.30453127881523
1990-03-08,4.39950341398523
1990-03-09,4.49443050995925
1990-03-12,4.58931159493667
1990-03-13,4.68414569758793
1990-03-14,4.77893184706441
1990-03-15,4.87366907300844
1990-03-16,4.96835640556316
1990-03-19,5.06299287538252
1990-03-20,5.15757751364114
1990-03-21,5.25210935204427
1990-03-22,5.34658742283771
1990-03-23,5.44101075881765
1990-03-26,5.53537839334065
1990-03-27,5.62968936033352
1990-03-28,5.72394269430315
1990-03-29,5.81813743034648
1990-03-30,5.91227260416031
1990-04-02,6.00634725205121
1990-04-03,6.10036041094538
1990-04-04,6.19431111839848
1990-04-05,6.28819841260554
1990-04-06,6.38202133241074
1990-04-09,6.47577891731732
1990-04-10,6.56947020749732
1990-04-11,6.66309424380153
1990-04-12,6.75665006776917
1990-04-16,6.85013672163784
1990-04-17,6.9435532483532
1990-04-18,7.03689869157886
1990-04-19,7.13017209570613
1990-04-20,7.2233725058638
1990-04-23,7.31649896792793
1990-04-24,7.40955052853161
1990-04-25,7.50252623507471
1990-04-26,7.59542513573367
1990-04-27,7.6882462794712
1990-04-30,7.78098871604603
1990-05-01,7.87365149602265
1990-05-02,7.96623367078102
1990-05-03,8.05873429252628
1990-05-04,8.15115241429845
1990-05-07,8.24348708998216
1990-05-08,8.33573737431627
1990-05-09,8.42790232290358
1990-05-10,8.51998099222055
1990-05-11,8.61197243962684
1990-05-14,8.7038757233751
1990-05-15,8.79568990262049
1990-05-16,8.88741403743038
1990-05-17,8.97904718879395
1990-05-18,9.07058841863183
1990-05-21,9.16203678980565
1990-05-22,9.25339136612769
1990-05-23,9.34465121237043
1990-05-24,9.43581539427613
1990-05-25,9.5268829785664
1990-05-29,9.61785303295176
1990-05-30,9.70872462614116
1990-05-31,9.79949682785155
1990-06-01,9.89016870881737
1990-06-04,9.98073934080008
1990-06-05,10.0712077965977
1990-06-06,10.1615731500541
1990-06-07,10.2518344760689
1990-06-08,10.3419908506066
1990-06-11,10.4320413507059
1990-06-12,10.5219850544896
1990-06-13,10.6118210411738
1990-06-14,10.7015483910773
1990-06-15,10.791166185631
1990-06-18,10.8806735073874
1990-06-19,10.97006944003
1990-06-20,11.0593530683826
1990-06-21,11.1485234784185
1990-06-22,11.2375797572704
1990-06-25,11.3265209932392
1990-06-26,11.4153462758034
1990-06-27,11.5040546956289
1990-06-28,11.5926453445777
1990-06-29,11.6811173157175
1990-07-02,11.7694697033311
1990-07-03,11.8577016029252
1990-07-05,11.9458121112404
1990-07-06,12.0338003262596
1990-07-09,12.1216653472179
1990-07-10,12.2094062746116
1990-07-11,12.2970222102073
1990-07-12,12.3845122570511
1990-07-13,12.4718755194781
1990-07-16,12.5591111031212
1990-07-17,12.6462181149203
1990-07-18,12.7331956631317
1990-07-19,12.8200428573369
1990-07-20,12.9067588084521
1990-07-23,12.9933426287368
1990-07-24,13.0797934318034
1990-07-25,13.166110332626
1990-07-26,13.2522924475494
1990-07-27,13.3383388942982
1990-07-30,13.4242487919862
1990-07-31,13.5100212611247
1990-08-01,13.5956554236323
1990-08-02,13.681150402843
1990-08-03,13.7665053235162
1990-08-06,13.8517193118447
1990-08-07,13.9367914954644
1990-08-08,14.0217210034626
1990-08-09,14.1065069663874
1990-08-10,14.1911485162564
1990-08-13,14.2756447865657
1990-08-14,14.3599949122984
1990-08-15,14.4441980299339
1990-08-16,14.5282532774567
1990-08-17,14.6121597943649
1990-08-20,14.6959167216792
1990-08-21,14.7795232019519
1990-08-22,14.8629783792752
1990-08-23,14.9462813992905
1990-08-24,15.0294314091967
1990-08-27,15.1124275577592
1990-08-28,15.1952689953186
1990-08-29,15.2779548737991
1990-08-30,15.3604843467176
1990-08-31,15.4428565691922
1990-09-04,15.5250706979507
1990-09-05,15.6071258913395
1990-09-06,15.6890213093319
1990-09-07,15.7707561135369
1990-09-10,15.852329467208
1990-09-11,15.9337405352512
1990-09-12,16.014988484234
1990-09-13,16.096072482394
1990-09-14,16.1769916996469
1990-09-17,16.2577453075955
1990-09-18,16.338332479538
1990-09-19,16.4187523904763
1990-09-20,16.4990042171249
1990-09-21,16.5790871379187
1990-09-24,16.6590003330219
1990-09-25,16.7387429843364
1990-09-26,16.8183142755098
1990-09-27,16.897713391944
1990-09-28,16.9769395208035
1990-10-01,17.0559918510239
1990-10-02,17.1348695733198
1990-10-03,17.2135718801934
1990-10-04,17.2920979659429
1990-10-05,17.3704470266702
1990-10-08,17.4486182602897
1990-10-09,17.5266108665361
1990-10-10,17.6044240469729
1990-10-11,17.6820570050005
1990-10-12,17.759508945864
1990-10-15,17.836779076662
1990-10-16,17.9138666063542
1990-10-17,17.9907707457695
1990-10-18,18.0674907076144
1990-10-19,18.144025706481
1990-10-22,18.2203749588546
1990-10-23,18.2965376831222
1990-10-24,18.3725130995806
1990-10-25,18.4483004304437
1990-10-26,18.5238988998512
1990-10-29,18.5993077338762
1990-10-30,18.6745261605329
1990-10-31,18.7495534097852
1990-11-01,18.8243887135538
1990-11-02,18.8990313057246
1990-11-05,18.9734804221562
1990-11-06,19.0477353006879
1990-11-07,19.1217951811478
1990-11-08,19.1956593053597
1990-11-09,19.2693269171519
1990-11-12,19.3427972623642
1990-11-13,19.416069588856
1990-11-14,19.4891431465139
1990-11-15,19.5620171872592
1990-11-16,19.634690965056
1990-11-19,19.7071637359182
1990-11-20,19.7794347579179
1990-11-21,19.8515032911921
1990-11-23,19.9233685979511
1990-11-26,19.9950299424857
1990-11-27,20.0664865911744
1990-11-28,20.1377378124916
1990-11-29,20.2087828770146
1990-11-30,20.2796210574311
1990-12-03,20.3502516285469
1990-12-04,20.420673867293
1990-12-05,20.4908870527333
1990-12-06,20.5608904660718
1990-12-07,20.6306833906601
1990-12-10,20.7002651120044
1990-12-11,20.7696349177734
1990-12-12,20.838792097805
1990-12-13,20.9077359441138
1990-12-14,20.9764657508985
1990-12-17,21.044980814549
1990-12-18,21.1132804336536
1990-12-19,21.181363909006
1990-12-20,21.2492305436129
1990-12-21,21.3168796427006
1990-12-24,21.3843105137227
1990-12-26,21.4515224663665
1990-12-27,21.5185148125607
1990-12-28,21.5852868664823
1990-12-31,21.651837944563
1991-01-02,21.7181673654973
1991-01-03,21.7842744502485
1991-01-04,21.8501585220562
1991-01-07,21.915818906443
1991-01-08,21.9812549312214
1991-01-09,22.0464659265008
1991-01-10,22.1114512246943
1991-01-11,22.1762101605257
1991-01-14,22.2407420710359
1991-01-15,22.3050462955899
1991-01-16,22.369122175884
1991-01-17,22.4329690559516
1991-01-18,22.4965862821709
1991-01-21,22.5599732032709
1991-01-22,22.6231291703383
1991-01-23,22.6860535368243
1991-01-24,22.748745658551
1991-01-25,22.8112048937181
1991-01-28,22.8734306029093
1991-01-29,22.9354221490992
1991-01-30,22.9971788976595
1991-01-31,23.0587002163654
1991-02-01,23.1199854754027
1991-02-04,23.1810340473735
1991-02-05,23.2418453073031
1991-02-06,23.302418632646
1991-02-07,23.3627534032929
1991-02-08,23.4228490015764
1991-02-11,23.4827048122776
1991-02-12,23.5423202226325
1991-02-13,23.601694622338
1991-02-14,23.6608274035585
1991-02-15,23.7197179609318
1991-02-19,23.7783656915755
1991-02-20,23.836769995093
1991-02-21,23.8949302735799
1991-02-22,23.9528459316297
1991-02-25,24.0105163763404
1991-02-26,24.0679410173204
1991-02-27,24.1251192666941
1991-02-28,24.1820505391088
1991-03-01,24.2387342517397
1991-03-04,24.2951698242966
1991-03-05,24.3513566790297
1991-03-06,24.4072942407352
1991-03-07,24.4629819367614
1991-03-08,24.5184191970147
1991-03-11,24.5736054539652
1991-03-12,24.6285401426526
1991-03-13,24.6832227006921
1991-03-14,24.73765256828
1991-03-15,24.7918291881992
1991-03-18,24.8457520058257
1991-03-19,24.8994204691333
1991-03-20,24.9528340287
1991-03-21,25.0059921377132
1991-03-22,25.0588942519754
1991-03-25,25.1115398299099
1991-03-26,25.1639283325662
1991-03-27,25.2160592236257
1991-03-28,25.2679319694068
1991-04-01,25.3195460388707
1991-04-02,25.370900903627
1991-04-03,25.4219960379386
1991-04-04,25.4728309187274
1991-04-05,25.5234050255797
1991-04-08,25.5737178407512
1991-04-09,25.6237688491729
1991-04-10,25.6735575384557
1991-04-11,25.7230833988959
1991-04-12,25.7723459234809
1991-04-15,25.8213446078934
1991-04-16,25.8700789505176
1991-04-17,25.9185484524435
1991-04-18,25.9667526174726
1991-04-19,26.0146909521226
1991-04-22,26.0623629656326
1991-04-23,26.1097681699683
1991-04-24,26.1569060798266
1991-04-25,26.2037762126408
